inex,group,level1,level2,level3,level4,value
22,mang_may_tinh,thong_so_mang,thong_luong,,,"Thông lượng là lượng dữ liệu đi qua đường truyền trong một đơn vị thời gian. Hay thông lượng là băng thông thực sự mà các ứng dụng mạng được sử dụng trong một thời gian cụ thể (thông lượng có thể được biến đổi theo thời gian).

Thông lượng thường nhỏ hơn nhiều so với băng thông tối đa có thể có của môi trường truyền dẫn được sử dụng (Throughput ≤ Bandwidth).

Thông lượng của mạng máy tính phụ thuộc vào các yếu tố như khoảng cách liên kết, môi trường truyền dẫn, các công nghệ mạng, dạng dữ liệu được truyền, số lượng người dùng trên mạng, máy tính người dùng, máy chủ, …"
23,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_unicast,,,Phương thức unicast: Một nút nguồn muốn gửi một thông điệp đến duy nhất một nút đích trên hệ thống mạng.
24,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_multicast,,,Phương thức multicast: Một nút nguồn muốn gửi một thông điệp đến một nhóm các nút đích trên hệ thống mạng.
25,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_broadcast,,,Phương thức broadcast: Một nút nguồn muốn gửi một thông điệp đến tất cả các nút đích khác trên hệ thống mạng.
26,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,dinh_nghia_giao_thuc_truyen_thong,,"Giao thức truyền thông (tiếng Anh là communication protocol, hay gọi tắt là protocol) hay còn được dịch là giao thức giao tiếp, giao thức liên mạng, giao thức tương tác hay giao thức trao đổi thông tin, là một tập hợp các quy tắc chuẩn cho phép hai hoặc nhiều thực thể trong một hệ thống thông tin liên lạc để trao đổi thông tin, dữ liệu qua các kênh truyền thông. Giao thức sẽ định nghĩa các quy tắc (rule), cú pháp (syntax), ngữ nghĩa (semantics). sự đồng bộ (synchronization) trong quá trình truyền thông và có thể thêm phương pháp khắc phục lỗi trên đường truyền. Giao thức truyền thông có thể được thực thi trên phần cứng, phần mềm hoặc cả hai"
27,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,,"Các giao thức truyền thông dành cho truyền thông tín hiệu số trong mạng máy tính có nhiều tính năng để đảm bảo việc trao đổi dữ liệu một cách đáng tin cậy qua một kênh truyền thông không hoàn hảo.

Có nhiều giao thức được sử dụng để giao tiếp hoặc truyền đạt thông tin trên Internet, dưới đây là một số các giao thức tiêu biểu:"
28,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_TCP,TCP (Transmission Control Protocol): thiết lập kết nối giữa các máy tính để truyền dữ liệu. Nó chia nhỏ dữ liệu ra thành những gói (packet) và đảm bảo việc truyền dữ liệu thành công.
29,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_IP,"IP (Internet Protocol): định tuyến (route) các gói dữ liệu khi chúng được truyền qua Internet, đảm bảo dữ liệu sẽ đến đúng nơi cần nhận."
30,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_HTTP,HTTP (HyperText Transfer Protocol): cho phép trao đổi thông tin (chủ yếu ở dạng siêu văn bản) qua Internet.
31,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_FTP,FTP (File Transfer Protocol): cho phép trao đổi tập tin qua Internet.
32,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_SMTP,SMTP (Simple Mail Transfer Protocol): cho phép gởi các thông điệp thư điện tử (e-mail) qua Internet.
33,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_POP3,"POP3 (Post Office Protocol, phiên bản 3): cho phép nhận các thông điệp thư điện tử qua Internet."
34,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_MIME,"MIME (Multipurpose Internet Mail Extension): một mở rộng của giao thức SMTP, cho phép gởi kèm các tập tin nhị phân, phim, nhạc,... theo thư điện tử"
35,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_WAP,"WAP (Wireless Application Protocol): cho phép trao đổi thông tin giữa các thiết bị không dây, như điện thoại di động."
36,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,giao_thuc_phi_ket_noi,,"Liên lạc phi kết nối, gọi tắt là liên lạc CL-mode,[1] là một phương thức truyền dữ liệu được dùng trong các mạng chuyển mạch gói trong đó mỗi đơn vị dữ liệu được xử lý và định tuyến riêng dựa trên thông tin được thực hiện trong mỗi đơn vị chứ không phải trong thông tin thiết lập của kênh dữ liệu cố định và cố định như trong giao tiếp định hướng kết nối.

Trong truyền thông phi kết nối giữa hai điểm đầu cuối mạng, một thông điệp có thể được gửi từ một điểm kết thúc đến điểm khác mà không có sự sắp xếp trước. Thiết bị ở một đầu của truyền thông truyền dữ liệu đến người kia mà không cần đảm bảo rằng người nhận sẵn sàng và sẵn sàng nhận dữ liệu. Một số giao thức cho phép sửa lỗi bằng cách truyền lại yêu cầu. Internet Protocol (IP) và User Datagram Protocol (UDP) là các giao thức phi kết nối.

Một gói tin truyền trong chế độ không kết nối thường được gọi là datagram.

Các giao thức không kết nối thường được mô tả như các giao thức không trạng thái bởi vì các điểm kết thúc không có cách xác định theo giao thức để ghi nhớ nơi chúng đang ở trạng thái một ""cuộc trò chuyện"" trao đổi tin nhắn.

Trong truyền thông theo hướng kết nối, các peers giao tiếp phải thiết lập kênh dữ liệu hợp lý hoặc vật lý hoặc kết nối trong một hộp thoại trước khi trao đổi dữ liệu người dùng.

Một giao tiếp không kết nối có một lợi thế hơn một kết nối định hướng kết nối, ở chỗ nó có ít overhead. Nó cũng cho phép các hoạt động multicast và broadcast trong đó cùng một dữ liệu được truyền đến một loạt người nhận trong một lần truyền."
37,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,giao_thuc_duong_ham,,Chưa có thông tin
38,mang_may_tinh,,,,mo_hinh_OSI,"OSI, hay còn gọi là ""Mô hình tham chiếu kết nối các hệ thống mở"", viết ngắn là OSI Model hoặc OSI Reference Model là thiết kế dựa trên sự phát triển của ISO (Tổ chức Tiêu chuẩn Quốc tế) và IUT-T. Mô hình bao gồm 7 tầng:
1.	Tầng ứng dụng (Tầng 7): cho phép người dùng (con người hay phần mềm) truy cập vào mạng bằng cách cung cấp giao diện người dùng, hỗ trợ các dịch vụ như gửi thư điện tử truy cập và truyền file từ xa, quản lý CSDL dùng chung và một số dịch vụ khác về thông tin.
2.	Tầng trình diễn (Tầng 6): thực hiện các nhiệm vụ liên quan đến cú pháp và nội dung của thông tin gửi đi.
3.	Tầng phiên (Tầng 5): đóng vai trò ""kiểm soát viên"" hội thoại (dialog) của mạng với nhiệm vụ thiết lập, duy trì và đồng bộ hóa tính liên tác giữa hai bên.
4.	Tầng giao vận(Tầng 4): nhận dữ liệu từ tầng phiên, cắt chúng thành những đơn vị nhỏ nếu cần, gửi chúng xuống tầng mạng và kiểm tra rằng các đơn vị này đến được đầu nhận.
5.	Tầng mạng (Tầng 3): điều khiển vận hành của mạng con. Xác định mở đầu và kết thúc của một cuộc truyền dữ liệu.
6.	Tầng liên kết dữ liệu (Tầng 2): nhiệm vụ chính là chuyển dạng của dữ liệu thành các khung dữ liệu (data frames) theo các thuật toán nhằm mục đích phát hiện, điều chỉnh và giải quyết các vấn đề như hư, mất và trùng lập các khung dữ liệu.
7.	Tầng vật lý (Tầng 1): Thực hiện các chức năng cần thiết để truyền luồng dữ liệu dưới dạng bit đi qua các môi trường vật lý."
39,mang_may_tinh,,,,mo_hinh_TCP/IP,"1.	Tầng ứng dụng: bao gồm nhiều giao thức cấp cao. Trước đây người ta sử dụng các áp dụng đầu cuối ảo như TELNET, FTP, SMTP. Sau đó nhiều giao thức đã được định nghĩa thêm vào như DNS, HTTP...
2.	Tầng giao vận: nhiệm vụ giống như phần giao vận của OSI nhưng có hai giao thức được dùng tới là TCP và UDP.
3.	Tầng mạng: chịu trách nhiệm chuyển gói dữ liệu từ nơi gửi đến nơi nhận, gói dữ liệu có thể phải đi qua nhiều mạng (các chặng trung gian). Tầng liên kết dữ liệu thực hiện truyền gói dữ liệu giữa hai thiết bị trong cùng một mạng, còn tầng mạng đảm bảo rằng gói dữ liệu sẽ được chuyển từ nơi gửi đến đúng nơi nhận. Tầng này định nghĩa một dạng thức của gói và của giao thức là IP.
4.	Tầng liên kết dữ liệu: Sử dụng để truyền gói dữ liệu trên một môi trường vật lý."
40,mang_may_tinh,thiet_bi_mang,thiet_bi_truyen_dan,,,"Thiết bị truyền dẫn
•	Cáp xoắn đôi (Twisted pair cable): Cáp xoắn đôi gồm nhiều cặp dây đồng xoắn lại với nhau nhằm chống phát xạ nhiễu điện từ. Do giá thành thấp nên cáp xoắn được dùng rất rộng rãi. Có hai loại cáp xoắn đôi được sử dụng rộng rãi trong LAN là loại có vỏ bọc chống nhiễu và loại không có vỏ bọc chống nhiễu.
•	Cáp đồng trục (Coaxial Cable)
•	Cáp sợi quang (Fiber optic cable): là một loại cáp viễn thông làm bằng thủy tinh hoặc nhựa, sử dụng ánh sáng để truyền tín hiệu. Cáp quang dài, mỏng thành phần của thủy tinh trong suốt bằng đường kính của một sợi tóc. Chúng được sắp xếp trong bó được gọi là cáp quang và được sử dụng để truyền tín hiệu trong khoảng cách rất xa. Không giống như cáp đồng truyền tín hiệu bằng điện, cáp quang ít bị nhiễu, tốc độ cao và truyền xa hơn."
41,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,wireless_access_point,,"Wireless Access Point là thiết bị kết nối mạng không dây được thiết kế theo chuẩn IEEE 802.11b, cho phép nối LAN to LAN, dùng cơ chế CSMA/CA để giải quyết tranh chấp, dùng cả hai kiến trúc kết nối mạng là Infrastructure và AdHoc, mã hóa theo 64/128 bit. Nó còn hỗ trợ tốc độ truyền không dây lên tới 11Mbps trên băng tần 2,4 GHz và dùng công nghệ radio DSSS (Direct Sequence Spectrum Spreading)."
42,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,wireless_ethernet_bridge,,Wireless Ethernet Bridge là thiết bị cho phép các thiết bị Ethernet kết nối vào mạng không dây. Ví dụ như thiết bị Linksys WET54G Wireless-G Ethernet Bridge. Nó hỗ trợ bất kỳ thiết bị Ethernet nào kết nối vào mạng không dây dù thiết bị Ethernet đó có thể là một thiết bị đơn hoặc một router kết nối đến nhiều thiết bị khác.
43,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,card_mang,,"Card mạng là một loại card mở rộng được gắn thêm trên máy tính, cung cấp giao tiếp vật lý và logic giữa máy tính với các thiết bị mạng, hệ thống mạng thông qua phương tiện truyền dẫn."
44,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,repeater,,Repeater đơn giản chỉ là một bộ khuếch đại tín hiệu giữa hai cổng của hai phân đoạn mạng. Repeater được dùng trong mô hình mạng Bus nhằm mở rộng khoảng cách tối đa trên một đường cáp. Có hai loại Repeater đang được sử dụng là Repeater điện và Repeater điện quang. Dùng để nối hai mạng có cùng giao thức truyền thông
45,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,hub,,"Hub là thiết bị có chức năng giống như Repeater nhưng nhiều cổng giao tiếp hơn cho phép nhiều thiết bị mạng kết nối tập trung với nhau tại một điểm. Hub thông thường có từ 4 đến 24 cổng giao tiếp, thường sử dụng trong những mạng Ethernet 10BaseT. Thật ra, Hub chi là Repeater nhiều cổng. Hub lặp lại bất kỳ tín hiệu nào nhận được từ một cổng bất kỳ và gửi tín hiệu đó đến tất cả các cổng còn lại trên nó. Hub hoạt động ở lớp vật lý của mô hình OSI và cũng không lọc được dữ liệu. Hub thường được dùng để nối mạng, thông qua những đầu cắm của nó người ta liên kết với các máy tính dưới dạng hình sao. Hub được chia làm hai loại chính: Hub thụ động (Passive hub) và Hub chủ động (Active hub)."
46,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,bridge,,"Bridge là thiết bị cho phép nối kết hai nhánh mạng, có chức năng chuyển có chọn lọc các gói tin đến nhánh mạng chứa máy nhận gói tin. Để lọc các gói tin và biết được gói tin nào thuộc nhánh mạng nào thì Bridge phải chứa bảng địa chỉ MAC. Bảng địa chỉ này có thể được khởi tạo tự động hay phải cấu hình bằng tay. Do Bridge hiểu được địa chỉ MAC nên Bridge hoạt động ở tầng hai (tầng data link) trong mô hình OSI."
47,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,modem,,Modem là thiết bị dùng để chuyển đổi dữ liệu định dạng số thành dữ liệu định dạng tương tự cho một quá trình truyền từ môi trường tín hiệu số qua môi trường tín hiệu tương tự và sau đó trở môi trường tín hiệu số ở phía nhận cuối cùng. Tên gọi Modem thật ra là từ viết tắt được ghép bởi những chữ cái đầu tiên của MOdulator/DEModulator – Bộ điều biến/Bộ giải điều biến.
48,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,switch,,Switch là sự kết hợp hài hòa về kỹ thuật giữa Bridge và Hub. Cơ chế hoạt động của Switch rất giống Hub bởi vì là thiết bị tập trung các kết nối mạng lại trên nó. Những cổng giao tiếp trên Switch là những Bridge thu nhỏ được xây dựng trên mỗi cổng giao tiếp tương ứn
49,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,router,,"Router là bộ định tuyến dùng để nối kết nhiều phân đoạn mạng, hay nhiều kiểu mạng (thường là không đồng nhất về kiến trúc và công nghệ) vào trong cùng một mạng tương tác. Thông thường có một bộ xử lý, bộ nhớ, và hai hay nhiều cổng giao tiếp ra/vào."
50,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,brouter,,Brouter
51,mang_may_tinh,thiet_bi_mang,thiet_bi_ket_noi,gateway,,Gateway là thiết bị trung gian dùng để nối kết những mạng khác nhau cả về kiến trúc lẫn môi trường mạng. Gateway được hiểu như cổng ra vào chính của một mạng nội bộ bên trong kết nối với mạng khác bên ngoài. Có thể đó là thiết bị phần cứng chuyên dụng nhưng thường là một server cung cấp kết nối cho các máy mà nó quản lý đi ra bên ngoài giao tiếp với một mạng khác.
52,mang_may_tinh,cong_nghe_mang,point_to_point,,,"Trong mạng máy tính, Point-to-Point Protocol (hoặc PPP) là một giao thức liên kết dữ liệu, thường được dùng để thiết lập một kết nối trực tiếp giữa 2 nút mạng. Nó có thể cung cấp kết nối xác thực, mã hóa việc truyền dữ liệu...

PPP được sử dụng bằng nhiều kiểu mạng vật lý khác nhau, bao gồm cáp tuần tự (serial cable), dây điện thoại, mạng điện thoại, radio và cáp quang giống như SONET. Đa phần các nhà cung cấp dịch vụ Internet đều sử dụng PPP cho khách hàng để truy cập Internet. Hai kiểu đóng gói dữ liệu của PPP là PPPoE (Point-to-Point Protocol over Ethernet) và PPPoA (Point-to-Point Protocol over ATM), chúng được sử dụng bởi các nhà cung cấp dịch vụ Internet để kết nối tới dịch vụ Internet."
53,mang_may_tinh,cong_nghe_mang,point_to_point,,PPPoE,"PPPoE là một giao thức mạng cho đóng gói khung PPP bên trong khung Ethernet (chú ý đây là một định nghĩa khác hoàn toàn so với PoE). Nó xuất hiện vào năm 1999, trong bối cảnh bùng nổ DSL như là giải pháp cho các đường hầm (tunneling) thông qua kết nối DSL đến mạng IP của ISP và từ đó đến phần còn lại của Internet. Một cuốn sách mạng năm 2005 đã lưu ý rằng ""Hầu hết các nhà cung cấp DSL đều sử dụng PPPoE, cung cấp xác thực, mã hóa và nén."" Việc sử dụng PPPoE điển hình liên quan đến việc tận dụng các cơ sở PPP để xác thực người dùng bằng tên người dùng và mật khẩu, chủ yếu thông qua giao thức PAP và đôi khi thông qua CHAP.

Trên thiết bị đầu cuối của khách hàng, PPPoE có thể được thực hiện trong thiết bị xử lý cả hai chức năng modem DSL và định tuyến IP hoặc trong trường hợp của một modem DSL (không hỗ trợ định tuyến), PPPoE có thể được xử lý trên bộ định tuyến chỉ Ethernet (đằng sau modem DSL) hoặc thậm chí trực tiếp trên máy tính của người dùng. Hỗ trợ PPPoE hiện diện trong hầu hết các hệ điều hành, từ Windows XP, Linux đến Mac OS X. Gần đây, một số các cổng dựa trên nền tảng GPON (thay vì dựa trên DSL) cũng sử dụng PPPoE.

PPPoE được phát triển bởi UUNET, Redback Networks (nay là Ericsson) và RouterWare (nay là Wind River Systems) và có sẵn dưới dạng thông tin RFC 2516.

Trong thế giới của DSL, PPPoE thường được hiểu chạy trên ATM (hoặc DSL) như là giao thức vận chuyển cơ bản, mặc dù không có giới hạn nào như vậy tồn tại trong chính giao thức PPPoE. Các kịch bản sử dụng khác đôi khi được phân biệt bằng cách xử lý như một giao thức vận chuyển cơ bản khác. Ví dụ, PPPoEoE chính là giao thức vận chuyển Ethernet, như trong trường hợp mạng Metro Ethernet. (Trong ký hiệu này, việc sử dụng ban đầu của PPPoE sẽ được gắn nhãn PPPoEoA, mặc dù không nên nhầm lẫn với PPPoA, một giao thức đóng gói khác.)

PPPoE đã được mô tả trong một số cuốn sách như một lớp giao thức ""lớp 2,5 "" thô sơ tương tự như MPLS vì nó có thể được sử dụng để phân biệt IP khác nhau trong chia sẻ cơ sở hạ tầng Ethernet.
Bạn có thể xem thêm thông tin ở đường link này
https://vi.wikipedia.org/wiki/PPP_(giao_th%E1%BB%A9c)"
54,mang_may_tinh,cong_nghe_mang,Ethernet,,,"Ethernet
Xem thêm thông tin tại đây 
https://vi.wikipedia.org/wiki/Ethernet"
55,mang_may_tinh,cong_nghe_mang,token_ring,,,"Token Ring
Chưa có thông tin"
56,mang_may_tinh,cong_nghe_mang,FDDI,,,"FDDI 
Xem thêm thông tin tại đây 
https://vi.wikipedia.org/wiki/FDDI"
57,mang_may_tinh,cong_nghe_mang,mang_thue_bao,,,"Mạng thuê bao
Chưa có thông tin"
58,mang_may_tinh,cong_nghe_mang,mang_chuyen_mach,,,"Mạng chuyển mạch
Chưa có thông tin"
59,mang_may_tinh,cong_nghe_mang,ATM,,,"ATM(Asynchronous Transfer Mode) là công nghệ chuyển mạch gói tương thích với mọi loại hình dịch vụ hiện nay. Nó được dùng trong cả mạng truy nhập lẫn mạng lõi. Hoạt động ở tầng 2 datalink của OSI

-Dữ liệu cần gởi được chia thành các gói có độ dài cố định là 53 bytes, được gọi là một tế bào (cell)."
60,mang_may_tinh,cong_nghe_mang,x.25,,,"X.25 là một giao thức đã được công nhận bởi CCITT (viết tắt từ tiếng Anh: Consultative Committee for International Telegraph and Telephone, nghĩa là Hội đồng Tham Vấn về Điện Thoại và Điện Tín Quốc tế). Giao thức này là giao thức rất phổ biến được đưa ra nhằm bảo đảm sự nguyên vẹn của dữ liệu khi di chuyển trong mạng. Nó định nghĩa sự kết nối với nhau của nhiều mạng dùng kỹ thuật nối chuyển gói với các máy tính liên hệ hoặc các đầu ra. X.25 cho phép các máy tính của nhiều mạng công cộng khác nhau có thể liên lạc xuyên qua một máy tính trung gian ở tầng network."
61,mang_may_tinh,cong_nghe_mang,frame_relay,,,"Frame relay là một giao thức về nối chuyển gói dùng cho việc nối các thiết bị trong WAN. Giao thức này được tạo ra để dùng trong môi trường có vận tốc rất nhanh và khả năng bị lỗi ít. Ở Mỹ, nó hỗ trợ vận tốc T-1 (hay DS1) lên đến 1.544 Mbps. Thực ra, frame relay cơ bản dựa trên giao thức cũ là X.25. Sự khác nhau ở đây, frame relay là kỹ thuật ""gói nhanh"" (fast-packet) và kỹ thuật này sẽ không tiến hành điều chỉnh lỗi. Khi lỗi tìm ra, thì nó chỉ đơn giản huỷ bỏ gói có lỗi đi. Các đầu cuối chịu trách nhiệm cho việc phát hiện lỗi và yêu cầu gửi lại gói đã hủy bỏ."
62,mang_may_tinh,cong_nghe_mang,DSL,,,DSL - Chưa có thông tin
63,mang_may_tinh,cong_nghe_mang,ARPANET,,,"ARPANET là mạng kiểu WAN, nse) khởi xướng đầu thập niên 1960 nhằm tạo ra một mạng có thể tồn tại với chiến tranh hạt nhân lúc đó có thể xảy ra giữa Mỹ và Liên Xô. Chữ ARPANET là từ chữ Advance Research Project Agency và chữ NET viết hợp lại. Đây là một trong những mạng đầu tiên dùng kỹ thuật nối chuyển gói, nó bao gồm các mạng con và nhiều máy chính. Các mạng con thì được thiết kế dùng các minicomputer gọi là các IMP, hay Bộ xử lý mẫu tin giao diện, (từ chữ Interface Message Processor) để bảo đảm khả năng truyền thông, mỗi IMP phải nối với ít nhất hai IMP khác và gọi các phần mềm của các mạng con này là giao thức IMP-IMP. Các IMP nối nhau bởi các tuyến điện thoai 56 Kbps sẵn có. ARPANET đã phát triển rất mạnh bởi sự ủng hộ của các đại học. Nhiều giao thức khác đã được thử nghiệm và áp dụng trên mạng này trong đó quan trọng là việc phát minh ra giao thức TCP/IP dùng trong các LAN nối với ARPANET. Đến 1983, ARPANET đã chứng tỏ sự bền bỉ và thành công bao gồm hơn 200 IMP và hàng trăm máy chính. Cũng trong thập niên 1980, nhiều LAN đã nối vào ARPANET và thiết kế DNS, hay hệ thống đặt tên miền, (từ chữ Domain Naming System) cũng ra đời trên mạng này trước tiên. Đến 1990 thì mạng này mới hết được sử dụng. Đây được xem là mạng có tính cách lịch sử là tiền thân của Internet."
64,mang_may_tinh,cong_nghe_mang,NFSNET,,,"NFSNET
Vào 1984 thì tổ chức National Science Foundation của Hoa Kỳ (gọi tắt là NSF) đã thiết kế nhằm phục vụ cho nhu cầu nghiên cứu và thông tin giữa các đại học bao gồm 6 siêu máy tính từ nhiều trung tâm trải rộng trong Hoa Kỳ. Đây là mạng WAN đầu tiên dùng TCP/IP. Cuối thập niên 1990 thì kĩ thuật sợi quang (fiber optics) đã được áp dụng. Tháng 12 năm 1991 thì mạng National Research and Educational Network ra đời để thay cho NSFNET và dùng vận tốc đến hàng giga bit. Đến 1995 thì NSFNET không còn cần thiết nữa."
65,mang_may_tinh,cong_nghe_mang,internet,,,"INTERNET
Số lượng máy tính nối vào ARPANET tăng nhanh sau khi TCP/IP trở thành giao diện chính thức duy nhất vào ngày 1 tháng 1 năm 1983. Sau khi ARPANET và NSFNET nối nhau thì sự phát triển mạng tăng theo hàm mũ. Nhiều nơi trên thế giới bắt đầu nối vào làm thành các mạng ở Canada, Châu Âu và bên kia Đại Tây Dương đã hình thành Internet. Từ 1990, Internet đã có hơn 300 mạng và 2000 máy tính nối vào. Đến 1995 đã có hàng trăm mạng cỡ trung bình, hàng chục ngàn LAN, hàng triệu máy chính, và hàng chục triệu người dùng Internet. Độ lớn của nó nhân đôi sau mỗi hai năm.
Chất liệu chính giữ Internet nối mạng với nhau là giao thức TCP/IP và chồng giao diện TCP/IP. TCP/IP đã làm cho các dịch vụ trở nên phổ dụng. Đến tháng 1 năm 1992, thì sự phát triển tự phát của Internet không còn hữu hiệu nữa. Tổ chức Internet Society ra đời nhằm cổ vũ và để quản lý nó. Internet có các ứng dụng chính sau:
1.	Thư điện tử (email): cung cấp khả năng viết, gửi và nhận các thư điện tử.
2.	Nhóm tin (newsgroup): các diễn đàn cho người dùng trao đổi thông tin. Có nhiều chục ngàn nhóm như vậy và có kiểu cách, phong thái riêng.
3.	Đăng nhập từ xa (remote login): giúp cho người dùng ở bất kì nơì nào có thể dùng Internet để đăng nhập và sử dụng hay điều khiển một máy khác chỗ mà họ có tài khoản. Nổi tiếng là chương trình Telnet.
4.	Truyền tập tin (file transfer): dùng chương trình FTP để chuyển các tập tin qua Internet đi khắp nơi.
5.	Máy truy tìm (search engine) các chương trình này qua Internet có thể giúp người ta tìm thông tin ở mọi dạng, mọi cấp về mọi thứ. Từ việc tìm các tài liệu nghiên cứu chuyên sâu cho đến tìm người và thông tin về người đó, hay tìm cách thức đi đường bản đồ,..."
66,mang_may_tinh,cong_nghe_mang,mang_khong_day,,,"Mạng không dây
Các thiết bị cầm tay hay bỏ túi thường có thể liên lạc với nhau bằng phương pháp không dây và theo kiểu LAN. Một phương án khác được dùng cho điện thoại cầm tay dựa trên giao thức CDPD (Cellular Digital Packet Data) hay là dữ liệu gói kiểu cellular số.

Các thiết bị không dây hoàn toàn có thể nối vào mạng thông thường (có dây) tạo thành mạng hỗn hợp (trang bị trên một số máy bay chở khách."
67,mang_may_tinh,cong_nghe_mang,lien_mang,,,"Liên mạng
Các mạng trên thế giới có thể khác biệt nhau về phần cứng và phần mềm, để chúng liên lạc được với nhau cần phải có thiết bị gọi là cổng nối (gateway) làm nhiệm vụ điều hợp. Một tập hợp các mạng nối kết nhau được gọi là liên mạng. Dạng thông thường nhất của liên mạng là một tập hợp nhiều LAN nối nhau bởi một WAN."
68,mang_may_tinh,cong_nghe_mang,ISDN,,,"ISDN từ chữ Integrated Services Digital Network nghĩa là ""mạng kỹ thuật số các dịch vụ tổng hợp"". Một cách tổng quát thì ISDN là loại mạng sử dụng kỹ thuật nối chuyển mạch. ISDN là một tiêu chuẩn quốc tế về truyền thông bằng âm thanh, dữ liệu, tín hiệu và hình ảnh kỹ thuật số. Một thí dụ là nó có thể dùng cho các buổi hội thảo truyền hình (videoconference) cùng lúc trao đổi hình ảnh, âm thanh, và chữ giữa các máy cá nhân có nối kết với nhóm các hệ thống hội thảo truyền hình.
Hệ thống ISDN sử dụng các nối kết qua đường dây điện thoại số cho phép nhiều kênh truyền hoạt động đồng thời qua cùng một tiêu chuẩn giao diện duy nhất. Người dùng ở nhà và các cơ sở kinh tế muốn có ISDN qua hệ thống dường dây điện thoại số cần phải cài thêm các trang bị đặc biệt về phần cứng gọi là bộ tiếp hợp (adapter). Vận tốc tối đa hiện tại của ISDN lên đến 128 Kbps. Nhiều địa phương không trang bị đưòng dây điện thoại số thì sẽ không cài đặt được kỹ thuật ISDN."
